Timestamp,Temperature (Â°C),Pressure (hPa),Humidity (%)
2025-01-30 12:12:31,21.4109375,858.1569738680602,16.443583108601526
2025-01-30 12:13:31,21.4109375,858.1460928493441,16.433025761680213
2025-01-30 12:14:31,24.910546875,858.098520547518,76.71951678697569
2025-01-30 12:15:32,26.4830078125,858.1527659146399,74.25886263101789
2025-01-30 12:55:21,22.009375,857.7345378090628,18.264459236435155
2025-01-30 12:56:22,23.622265625,857.7629606811424,70.15006643309232
2025-01-30 12:57:22,23.4853515625,857.6860862758751,19.54394328753609
2025-01-30 12:58:22,22.7703125,857.7102224592917,17.881687701208048
2025-01-30 13:00:42,22.1919921875,857.7716578584816,17.432705812344853
2025-01-30 13:46:38,22.2326171875,857.6743025347138,17.50922439974118
2025-01-30 13:47:38,22.2326171875,857.7292903200324,17.9421702924938
2025-01-30 13:48:44,22.2427734375,857.7124645211436,17.59961617686388
2025-01-30 16:39:41,23.5005859375,857.7325721134855,18.313756988043366
2025-01-30 17:58:08,24.0888671875,858.3874700655122,19.82419669049828,3.734625,6.983070625
2025-01-30 17:58:38,24.1498046875,858.4129611915826,17.60841711400607,3.74525,6.99736125
2025-01-30 18:11:13,24.0484375,858.593776150444,17.152215151461334,3.63075,6.84335875,0.700125,350.0625
2025-01-30 18:11:44,24.05859375,858.5695377389617,17.088950891198365,3.638625,6.853950625,0.6965,348.25
2025-01-30 18:12:14,24.053515625,858.6049755628387,16.997158925040946,3.64025,6.85613625,0.69175,345.875
2025-01-30 18:12:45,24.0787109375,858.5844687136906,17.052652055020243,3.641375,6.857649375,0.68625,343.125
2025-01-30 18:13:15,24.0888671875,858.6044620970924,16.607629405421715,3.63925,6.85479125,0.681125,340.5625
2025-01-30 18:13:45,24.0939453125,858.5915765522187,17.012716461748862,3.6481250000000003,6.866728125,0.677875,338.9375
2025-01-30 18:14:16,24.0787109375,858.5912189945651,16.824965708663818,3.647875,6.866391875,0.673,336.5
2025-01-30 18:14:46,24.03828125,858.5721969983415,16.599123950686206,3.646125,6.8640381249999995,0.667125,333.5625
2025-01-30 20:47:47,22.415234375,858.6610265952265,14.954314065420702,3.68925,6.9220412499999995,0.185625,92.8125
2025-01-30 20:48:18,22.425390625,858.6829069474203,14.805881700220704,3.690125,6.923218125,0.184375,92.1875
2025-01-30 20:48:48,22.405078125,858.6206321352912,14.726256305556696,3.69125,6.92473125,0.185,92.5
2025-01-30 20:49:19,22.415234375,858.6315033218224,14.71488109983704,3.692375,6.9262443750000005,0.184875,92.4375
2025-01-30 20:49:49,22.425390625,858.6840669599366,14.499031081994897,3.69325,6.92742125,0.18375,91.875
2025-01-31 09:31:56,21.2283203125,858.1660796453705,13.812502763425297,3.70975,6.94961375,0.093375,46.6875,Not Triggered,Not Triggered
2025-01-31 09:32:27,21.2689453125,858.1049891134817,13.803332330146981,3.71,6.949949999999999,0.09225,46.125,Triggered,Not Triggered
2025-01-31 09:33:20,21.3296875,858.1175290872092,13.681231547337214,3.7102500000000003,6.95028625,0.092875,46.4375,Triggered,Not Triggered
2025-01-31 09:33:29,21.33984375,858.1056901021562,13.838379701619443,3.7025,6.9398625,0.08775000000000001,43.87500000000001,Triggered,Triggered
2025-01-31 09:39:40,21.4515625,858.0507433706586,13.581291296194022,3.70875,6.94826875,0.091375,45.6875,Water High,Water High
2025-01-31 09:39:58,21.456640625,858.0671503186629,13.8438997315946,3.7018750000000002,6.939021875,0.08925,44.625,Water Low,Water High
2025-01-31 09:47:19,21.38046875,857.9484649300122,14.194176190718261,3.706,6.94457,0.090125,45.0625,Not Triggered,Triggered,Half
2025-01-31 09:47:50,21.38046875,857.9437353706729,13.69414428153781,3.704625,6.942720625,0.089125,44.5625,Triggered,Triggered,High
2025-01-31 09:48:20,21.395703125,857.9214039999272,13.545972934394824,3.704125,6.9420481249999995,0.08712500000000001,43.56250000000001,Not Triggered,Not Triggered,Low
2025-01-31 11:12:26,21.96875,857.7331296324866,14.376672101595593,3.6738750000000002,6.901361875,0.07225,36.125,Triggered,Triggered,High
2025-01-31 11:13:44,21.97890625,857.7516302040423,14.50168099782777,3.67325,6.90052125,0.07200000000000001,36.00000000000001,Triggered,Triggered,Low
2025-01-31 11:13:56,21.9890625,857.7393348003226,14.444001353921612,3.671875,6.898671875,0.072125,36.0625,Triggered,Not Triggered,High
2025-01-31 11:14:30,22.009375,857.7984530773505,14.35164620140887,3.6715,6.8981675,0.07187500000000001,35.93750000000001,Not Triggered,Not Triggered,High
2025-01-31 11:15:22,22.03984375,857.8630066673459,14.49144232894368,3.681,6.910945,0.075,37.5,Triggered,Not Triggered,Half
2025-01-31 11:15:39,22.0703125,857.8829173469703,15.66657166536424,3.67125,6.89783125,0.07125000000000001,35.62500000000001,Not Triggered,Not Triggered,High
2025-02-01 15:31:45,23.1201171875,852.4111911094739,22.92598128506908,3.634875,6.848906875,0.0425,21.25,Not Triggered,Not Triggered,High
